OF_DEPARTURE_COUNTRY,OF_DEPLV2,OF_DEPLV1,OF_DEPLV0,OF_DEPARTURE_CITY,OF_DEPARTURE_ZIPCODE,OF_DEPARTURE_COORDINATE_X,OF_DEPARTURE_COORDINATE_Y,OF_ARRIVAL_COUNTRY,OF_ARRLV2,OF_ARRLV1,OF_ARRLV0,OF_ARRIVAL_CITY,OF_ARRIVAL_ZIPCODE,OF_ARRIVAL_COORDINATE_X,OF_ARRIVAL_COORDINATE_Y,OF_WEIGHT,OF_VOLUME,OF_LENGTH,OF_GOODS_KND,OF_TAIL_LIFT,OF_PALLETS_EXCHANGE,OF_NB_PALLETS
PL,6,6,63,OBORY [GIZALKI],63-308,1780221,5202303,PL,2,2,20,LUBLIN,20-115,2256773,5124892,24000,0,136,TE,N,N,0
F,RP,77,,�MERAINVILLE,77184,262214,4881167,F,NO,27,,BEUZEVILLE,27210,34191,4934550,20000,0,132,MG,N,N,0
I,5,MAR,60,ANCONA,60122,1350868,4361819,F,NP,62,,BERGUENEUSE,62134,225440,5046898,2500,0,40,MG,N,N,0
D,SA,39,,MAGDEBURG,39126,1165372,5221579,D,WN,27,,BREMERHAVEN,27570,859308,5353457,200,0,20,MG,N,N,0
I,1,LOM,23,CORTENOVA,23813,938079,4600750,I,4,EMI,42,NOVELLARA,42017,1072901,4484541,3000,0,20,MG,N,N,0
F,NP,2,,CH�TEAU-THIERRY,2400,339382,4904767,F,BR,35,,CH�TEAUBOURG,35220,-140089,4811075,10000,150,60,MG,N,N,0
D,SB,86,,LANGWEID AM LECH,86462,1085404,4848963,D,PS,66,,SAARLOUIS,66740,674590,4931180,17000,0,136,MG,N,N,0
E,E12,TO,45,TOLEDO,45002,-402674,3985658,E,E8,PO,36,PONTEVEDRA,36161,-861881,4243696,14759,0,136,TD,N,N,0
F,AL,88,,POUXEUX,88550,656956,4810748,F,RP,91,,IGNY,91430,222589,4873585,12000,520,130,MG,N,N,0
F,BF,70,,LA C�TE,70200,657305,4768688,F,AL,88,,SAINTE-MARGUERITE,88100,697276,4827093,2750,0,55,MG,N,N,0
D,ON,31,,STADTHAGEN,31655,919982,5232365,D,PS,55,,BINGEN AM RHEIN,55411,790084,4996641,12043,0,140,MG,N,N,0
F,PL,44,,CARQUEFOU,44470,-149462,4728565,F,RA,74,,SALES,74150,596012,4587928,630,0,6,MG,N,N,0
F,NP,59,,F�CHAIN,59247,321514,5026717,F,NO,27,,�TR�PAGNY,27150,161200,4930577,3900,0,22,MG,N,N,0
F,PC,17,,MONTENDRE,17130,-40840,4528553,F,NO,50,,DUCEY,50220,-129155,4861955,3000,0,80,MG,N,N,0
F,BF,21,,PONTAILLER-SUR-SA�NE,21270,541176,4730600,F,BR,35,,LE VIVIER-SUR-MER,35960,-177477,4860197,10000,0,90,MG,N,N,0
F,BF,39,,SAINT-LAURENT-EN-GRANDVAUX,39150,595402,4657527,F,RA,73,,ALBERTVILLE,73200,638772,4566961,3600,0,40,MG,N,N,0
B,AN,20,,ANVERS,2040,432480,5134479,D,RL,46,,VOERDE,46562,668897,5159432,25200,0,136,MG,N,N,0
F,OC,66,,PERPIGNAN,66000,288741,4269814,F,MP,65,,TARBES,65000,7314,4323001,12000,0,70,MG,N,N,0
D,ON,31,,S�HLDE,31185,1023229,5218927,D,SN,8,,WILKAU-HASSLAU,8112,1251429,5067646,3000,0,50,MG,N,N,0
B,OV,93,,AALST,9300,403929,5094229,PL,9,9,96,ZYRARDOW,96-300,2044300,5205650,400,0,10,TD,N,N,0
F,AL,54,,LUN�VILLE,54300,649702,4859095,F,AL,57,,FORBACH,57600,689872,4918634,14000,0,130,MG,N,N,0
D,WF,58,,ENNEPETAL,58256,736040,5130163,D,ON,37,,BAD LAUTERBERG IM HARZ,37431,1046041,5162631,900,0,11,MG,N,N,0
B,OV,90,,GENT,9000,372860,5105561,F,RP,91,,BONDOUFLE,91070,237940,4861569,13400,0,136,MG,N,N,0
F,RA,26,,SAINT-RAMBERT-D ALBON,26140,481417,4529080,F,PL,72,,LA FL�CHE,72200,-7574,4769782,19000,0,136,MG,N,N,0
E,E2,GE,17,GERONA,17007,283036,4199273,F,NO,27,,�PAIGNES,27260,44234,4928050,12000,0,60,MG,N,N,0
F,MP,32,,CONDOM,32100,36830,4395683,F,CE,18,,LEVET,18340,240639,4692628,4000,0,32,MG,N,N,0
F,RP,91,,BR�TIGNY-SUR-ORGE,91220,230496,4860523,F,PL,49,,MONTREUIL-BELLAY,49260,-15239,4713165,5700,0,40,MG,N,N,0
F,AL,57,,THIONVILLE,57100,615519,4936029,B,AN,20,,ANVERS,2030,439738,5122172,23000,0,0,MG,N,N,0
E,E2,T,43,EL PLA DE SANTA MARIA,43810,129049,4136405,F,NP,60,,MARGNY-L�S-COMPI�GNE,60280,281889,4942602,503,0,40,MG,N,N,10
E,E2,T,43,TARRAGONA,43003,125408,4111693,F,RA,1,,MONTLUEL,1120,505543,4585103,9000,0,100,MG,N,N,0
F,PR,13,,NOVES,13550,490072,4387688,F,OC,34,,VILLENEUVE-LES-BEZIE,34420,328101,4331687,24000,0,110,MG,N,N,0
F,MP,9,,FOIX,9000,160750,4296196,D,PS,56,,KOBLENZ,56068,759483,5035503,25000,0,136,MG,N,N,0
D,BW,69,,HEIDELBERG,69117,870623,4941111,F,AL,67,,STRASBOURG,67200,773610,4858517,24000,0,132,MG,N,N,0
F,AU,3,,VICHY,3200,342998,4612685,D,SN,8,,PLAUEN,8523,1213573,5049403,4500,0,66,MG,N,N,0
B,OV,90,,GENT,9000,371956,5105140,F,AL,68,,COLMAR,68000,736365,4808192,25000,0,136,MG,N,N,0
F,AL,88,,NOMEXY,88440,638409,4830673,F,RA,69,,LYON,69002,482900,4575940,10000,0,88,MG,N,N,0
D,SB,85,,SCHERNFELD,85132,1110579,4890459,NL,UT,34,,UTRECHT,3451,501282,5210533,12000,0,136,MG,N,N,0
F,AL,57,,WOIPPY,57140,615437,4915080,F,RA,26,,CH�TEAUNEUF-SUR-IS�RE,26300,493808,4501453,28000,0,130,MG,N,N,0
F,RA,42,,CHARLIEU,42190,417117,4616027,F,PR,13,,MARIGNANE,13700,521530,4341472,2400,0,21,MG,N,N,0
F,RP,77,,MOUY-SUR-SEINE,77480,325809,4842887,F,RA,69,,GENAS,69740,500029,4573177,23000,0,134,MG,N,N,0
D,SB,84,,LOICHING,84180,1242938,4861907,GB,5,OX,,OXFORD,OX1 3,-125535,5175627,4000,0,136,MG,N,N,0
F,PR,13,,BERRE-L �TANG,13130,516932,4348236,F,NP,59,,LOOS,59120,301366,5061222,600,0,24,MG,N,N,0
D,NB,96,,BAD STAFFELSTEIN,96231,1099303,5010309,D,BW,74,,HEILBRONN,74076,922573,4915285,21500,0,136,MG,N,N,0
B,AN,28,,WILLEBROEK,2830,435348,5105735,F,RP,77,,MEAUX,77100,289645,4895733,5200,0,64,MG,N,N,0
F,CE,28,,GELLAINVILLE,28630,152943,4840850,F,NP,62,,SAINT-L�ONARD,62360,162583,5069143,750,0,40,MG,N,N,0
D,BW,71,,SCHWIEBERDINGEN,71701,907492,4887657,NL,NB,53,,ZALTBOMMEL,5301,524480,5181276,18000,0,136,MG,N,N,0
F,AQ,47,,TONNEINS,47400,31120,4439216,F,RP,77,,MEAUX,77100,288308,4895943,1500,0,20,MG,N,N,0
NL,FR,84,,HEERENVEEN,8448,594328,5296283,D,SH,25,,GL�CKSTADT,25348,942540,5379254,1000,0,20,MG,N,N,0
F,AL,68,,CERNAY,68700,717640,4780719,F,NO,14,,BI�VILLE-QU�TI�VILLE,14270,-4091,4910320,10000,0,100,MG,N,N,0
F,NP,62,,B�THUNE,62400,263888,5053198,F,NP,80,,VILLERS-BOCAGE,80260,231184,4999550,400,0,16,MG,N,N,0
NL,UT,38,,ZEEWOLDE,3891,553818,5233310,F,AQ,47,,FUMEL,47500,96108,4449662,2400,0,15,MG,N,N,0
F,RP,78,,POISSY,78300,204371,4892977,D,WF,44,,DORTMUND,44137,745824,5151660,18000,0,130,TV,N,N,0
F,CE,37,,CROUZILLES,37220,45904,4712424,F,BR,29,,PLABENNEC,29860,-442594,4850368,20700,0,100,MG,N,N,0
F,RA,69,,SAINT-SYMPHORIEN-D OZON,69360,486005,4563338,F,PC,17,,SURG�RES,17700,-75286,4610712,899,0,12,MG,N,N,0
F,AL,68,,COLMAR,68000,735304,4807926,I,4,TOS,57,PIOMBINO,57025,1049125,4298946,15000,0,136,MG,N,N,0
F,MP,31,,TOULOUSE,31100,144868,4360573,B,BR,13,,WAVRE,1300,461179,5071342,5000,0,134,MG,N,N,0
B,BR,10,,BRUXELLES,1000,435913,5084565,I,9,SIC,90,PALERMO,90147,1329180,3818464,24000,0,136,MG,N,N,0
B,LM,36,,GENK,3600,550488,5096902,F,PL,72,,MAMERS,72600,37215,4835087,4000,0,34,MG,N,N,5
D,NB,95,,HOF,95028,1192440,5032033,D,NB,90,,VEITSBRONN,90587,1088472,4951200,3600,0,52,MG,N,N,0
A,2,ST,81,FROHNLEITEN,8130,1532275,4727142,B,OV,97,,KRUISHOUTEM,9770,352538,5090554,24000,0,136,MG,N,N,0
B,LM,35,,HASSELT,3500,533593,5092703,D,SB,86,,AUGSBURG,86150,1089640,4836547,800,0,42,MG,N,N,0
E,E5,SE,41,MOR�N DE LA FRONTERA,41530,-545325,3712404,F,RP,78,,LES MUREAUX,78130,191365,4898728,4500,0,45,MG,N,N,0
